날짜,요일,정답,실제사건,사건시각,30위험_지속분,30위험_최초발동,30위험_예측대상시각,30peak확률,30peak시각,10위험+_지속분,10peak확률,리드타임_분,판정,비고
2026-06-01,월,설비,ZT 6ABL0131/4ABLD112 Error(회복),,0,,,0.15,10:58,0,0.62,,정상판정,
2026-06-02,화,정체,반송Time 급증(OHT err),13:47,38,13:41,14:11,0.98,13:55,8,0.87,6,정탐,
2026-06-03,수,정체경,M16 반송Q 증가·M16A→B 지연,02:18,0,,,0.45,17:23,0,0.04,,미탐(경미),약한신호
2026-06-04,목,정상,기록 전무(무사건),,0,,,0.43,18:43,0,0.07,,정상판정,
2026-06-05,금,정체,PIO급증+M16B 저장98%Full,14:48,212,10:12,10:42,1.00,11:10,35,0.98,276,정탐,
2026-06-06,토,정상,기록 없음,,0,,,0.38,01:16,0,0.42,,정상판정,
2026-06-07,일,설비,4AFC3201 alarm 차단(회복),11:16,18,11:30,12:00,0.83,11:53,0,0.35,-14,오탐,설비건→룰 반송시간확인 필터
2026-06-08,월,설비,ZT belt 파단 정비,,0,,,0.19,02:51,0,0.11,,정상판정,
2026-06-09,화,설비,belt작업+4ABLD121 err,,0,,,0.06,08:17,0,0.06,,정상판정,
2026-06-10,수,정상,기록 없음,,0,,,0.19,20:42,0,0.05,,정상판정,
2026-06-11,목,정체경,4AFC3301 LD교체후 일부정체,10:18,0,,,0.10,10:06,0,0.07,,미탐(경미),약한신호
2026-06-12,금,설비,Conv err+ZT down 공지,,0,,,0.13,14:03,0,0.04,,정상판정,
2026-06-13,토,설비,6ABL6012 belt 교체,,0,,,0.12,00:23,0,0.11,,정상판정,
2026-06-14,일,설비,4ABLD111/6ABL0112 err(회복),,0,,,0.02,16:33,0,0.02,,정상판정,
2026-06-16,화,정체,M16A/B StorageFull,08:08,0,,,0.18,08:34,0,0.26,,미탐,저장Full→TSPulse 담당

[집계],주요정체 탐지,2/3,6/2✅ 6/5✅ 6/16❌,,정탐 2,미탐 3,오탐 1,정상판정 9
