순번,필드명,값 범위,설명,비고
1,msg_id,2,메시지 ID,고정값
2,mcp,AGV,MCP 명칭,고정값
3,vhl,A001 ~ A050,Vehicle 명칭,A prefix 고정
4,state,"1/2/3/4/5/6/7/8/9","1:운전 2:정지 3:이상 4:수동 5:분리 6:OBS 7:삽체 8:HT 9:E84",
5,cargo,0 / 1,재하,0:없음 1:있음
6,err,0000 / XXXX,에러코드 16진수 4자리,정상=0000
7,comm,1 / 2,통신상태,1:정상 2:단선
8,addr,5000 ~ 6999,현재 번지,AGV 범위
9,dist,0 ~,거리,다음 번지까지
10,next,5000 ~ 6999,다음 번지,AGV 범위
11,cycle,"0/2/3/4/5/21",실행 Cycle,
12,prog,0 ~ 5,진척도,
13,cid,"PIN/CST/FPK/LOT/WFR + 4자리",Carrier ID,cargo=0이면 공백
14,dest,6000 ~ 7000,목적지,AGV 범위 / cargo=0이면 공백
15,em,00000000,E/M 상태,8자리 고정
16,gid,0000,Group ID,
17,sp,(공백),반송원 Port,AGV 미사용 항상 공백
18,dp,(공백),반송처 Port,AGV 미사용 항상 공백
19,pri,"0/1/10/50/99",우선도,
20,det,0,상세,
21,mil,0,주행거리,AGV 미사용 0 고정
