date,product,category,quantity,amount
2026-01-05,무선 키보드,전자기기,15,750000
2026-01-08,USB 허브,전자기기,30,600000
2026-01-12,모니터 암,사무용품,8,480000
2026-01-15,A4 용지,사무용품,100,350000
2026-01-20,블루투스 마우스,전자기기,25,500000
2026-01-25,노트북 파우치,액세서리,20,400000
2026-02-01,무선 키보드,전자기기,18,900000
2026-02-03,모니터 27인치,전자기기,5,2500000
2026-02-07,책상 정리함,사무용품,40,800000
2026-02-10,USB-C 케이블,액세서리,60,420000
2026-02-14,마우스 패드,액세서리,50,250000
2026-02-18,A4 용지,사무용품,80,280000
2026-02-20,블루투스 마우스,전자기기,30,600000
2026-02-25,노트북 파우치,액세서리,15,300000
2026-01-03,모니터 27인치,전자기기,3,1500000
2026-01-18,마우스 패드,액세서리,35,175000
2026-01-22,USB-C 케이블,액세서리,45,315000
2026-01-28,책상 정리함,사무용품,25,500000
2026-02-05,무선 키보드,전자기기,12,600000
2026-02-12,USB 허브,전자기기,20,400000
